Time:      10353  NODE1: [ 99, -57, -54, -51, -56, -54, -57,  99; -58,  99, -76, -58, -65, -67, -62,  99; -54, -74,  99, -53, -54, -55, -59,  99; -52, -59, -55,  99, -55, -44, -61,  99; -55, -63, -53, -54,  99, -46, -69,  99; -54, -64, -55, -43, -46,  99, -82,  99; -55, -58, -55, -60, -69, -79,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10395  NODE1: [ 99, -57, -54, -49, -56, -54, -59,  99; -58,  99, -78, -60, -65, -63, -61,  99; -53, -80,  99, -54, -54, -56, -58,  99; -51, -59, -55,  99, -55, -44, -63,  99; -55, -64, -53, -54,  99, -46, -69,  99; -54, -63, -55, -43, -47,  99, -79,  99; -57, -56, -56, -61, -69, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10437  NODE1: [ 99, -55, -50, -51, -55, -59, -58,  99; -56,  99, -74, -62, -66, -65, -59,  99; -50, -75,  99, -53, -55, -56, -59,  99; -52, -63, -55,  99, -57, -44, -63,  99; -55, -65, -53, -54,  99, -46, -69,  99; -59, -64, -56, -43, -47,  99, -77,  99; -57, -55, -55, -59, -69, -76,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10479  NODE1: [ 99, -60, -52, -53, -56, -55, -58,  99; -61,  99, -72, -61, -64, -66, -58,  99; -53, -69,  99, -54, -54, -55, -59,  99; -54, -61, -55,  99, -56, -44, -61,  99; -55, -62, -53, -54,  99, -46, -69,  99; -55, -65, -55, -43, -47,  99, -81,  99; -56, -55, -56, -58, -69, -80,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10521  NODE1: [ 99, -62, -52, -52, -56, -55, -58,  99; -63,  99, -69, -60, -63, -67, -58,  99; -52, -69,  99, -53, -54, -55, -58,  99; -53, -61, -54,  99, -56, -44, -61,  99; -55, -61, -53, -54,  99, -46, -71,  99; -55, -67, -55, -43, -47,  99, -82,  99; -56, -56, -56, -58, -70, -80,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10563  NODE1: [ 99, -59, -52, -52, -56, -56, -58,  99; -61,  99, -70, -63, -63, -66, -58,  99; -52, -70,  99, -54, -54, -56, -57,  99; -54, -64, -55,  99, -55, -44, -61,  99; -55, -62, -53, -54,  99, -46, -70,  99; -55, -66, -55, -43, -47,  99, -81,  99; -56, -55, -56, -58, -69, -80,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10605  NODE1: [ 99, -58, -51, -52, -55, -56, -58,  99; -60,  99, -69, -58, -64, -66, -57,  99; -51, -69,  99, -53, -54, -56, -58,  99; -54, -58, -55,  99, -56, -44, -61,  99; -55, -61, -53, -54,  99, -46, -71,  99; -55, -65, -55, -43, -47,  99, -87,  99; -56, -55, -55, -57, -71, -85,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10647  NODE1: [ 99, -61, -52, -53, -57, -55, -58,  99; -63,  99, -70, -59, -64, -68, -58,  99; -52, -69,  99, -54, -54, -56, -58,  99; -54, -61, -54,  99, -56, -44, -62,  99; -55, -62, -53, -54,  99, -46, -70,  99; -55, -67, -55, -43, -47,  99, -81,  99; -56, -55, -56, -58, -70, -79,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10689  NODE1: [ 99, -55, -53, -51, -56, -57, -60,  99; -56,  99, -71, -60, -65, -65, -57,  99; -53, -68,  99, -54, -53, -57, -58,  99; -51, -60, -54,  99, -55, -44, -65,  99; -55, -63, -54, -54,  99, -46, -69,  99; -56, -65, -55, -43, -47,  99, -84,  99; -58, -54, -57, -65, -67, -78,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
Time:      10731  NODE1: [ 99, -59, -58, -49, -57, -57, -59,  99; -60,  99, -74, -57, -66, -65, -58,  99; -58, -74,  99, -55, -54, -56, -58,  99; -50, -58, -55,  99, -55, -44, -62,  99; -56, -64, -53, -54,  99, -46, -69,  99; -57, -64, -55, -43, -47,  99, -85,  99; -57, -55, -55, -60, -69, -84,  99,  99;  99,  99,  99,  99,  99,  99,  99,  99]
